frustration,Consumer Auto Pan,Consumer Auto Post,Consumer Auto Pre,Dealer Pan,Dealer Post,Dealer Pre,Refinance Pan,Refinance Post,Refinance Pre,Servicing Pan,Servicing Post,Servicing Pre,United Income Pan,United Income Post,United Income Pre
1.0,0.0,242.0,553.0,0.0,247.0,598.0,0.0,125.0,381.0,75.0,34.0,211.0,0.0,89.0,186.0
2.0,0.0,812.0,1844.0,0.0,841.0,2010.0,0.0,417.0,1262.0,464.0,162.0,1307.0,0.0,297.0,581.0
3.0,0.0,441.0,953.0,0.0,383.0,1001.0,0.0,206.0,613.0,656.0,210.0,1532.0,0.0,144.0,301.0
4.0,0.0,137.0,391.0,0.0,161.0,411.0,0.0,78.0,262.0,1474.0,500.0,2515.0,0.0,45.0,100.0
5.0,238.0,87.0,189.0,296.0,82.0,180.0,134.0,43.0,130.0,1565.0,500.0,945.0,72.0,31.0,55.0
6.0,768.0,0.0,0.0,857.0,0.0,0.0,438.0,0.0,0.0,2948.0,894.0,747.0,257.0,0.0,0.0
7.0,1209.0,0.0,0.0,1349.0,0.0,0.0,759.0,0.0,0.0,1845.0,383.0,377.0,393.0,0.0,0.0
8.0,2399.0,0.0,0.0,2650.0,0.0,0.0,1405.0,0.0,0.0,2022.0,343.0,122.0,748.0,0.0,0.0
9.0,1771.0,0.0,0.0,1854.0,0.0,0.0,995.0,0.0,0.0,1117.0,106.0,43.0,562.0,0.0,0.0
